Feature,Chi2_Score,P_Value
major,5.808740180019984,0.12129540276376283
dying,5.793348209948513,0.12210875242844806
tonyxtwo,5.7894961896079105,0.1223131143327543
vice,5.788813560186206,0.12234936396837305
smart,5.775787980146664,0.12304302499964458
hundreds,5.771741706379734,0.12325926588739322
mike,5.770879908117532,0.12330536883522329
john,5.765630084054385,0.12358656957614624
sitting,5.760379822687742,0.12386840458462722
telling,5.751379207595777,0.12435298401473006
close,5.74555708082146,0.12466739947026516
gon,5.7366815963212865,0.1251481640017772
really,5.7337595724156465,0.1253068291681217
cognitive,5.693553026990689,0.1275095715593337
rogan,5.674511923385544,0.12856556081649803
seen,5.647492906272725,0.1300782763258902
talk,5.646791202144968,0.13011778724554401
near,5.623563586977802,0.13143212431864618
general,5.608808862293382,0.13227356438081087
israel,5.608118819560538,0.13231304151034734
story,5.550252280065312,0.13566367914759553
view,5.545071286343722,0.13596757078113833
ask,5.537563999669633,0.1364090577671541
swing,5.535306719888043,0.13654206918570796
butler,5.528763869680581,0.13692830579053122
pandemic,5.5133773870048675,0.1378406872750469
long,5.4925416849286215,0.1390853883639372
followers,5.482604535465514,0.13968276874585114
city,5.458012487191395,0.1411716152391643
msnbc,5.456622615426485,0.14125620795474456
watched,5.44938175228555,0.1416976909737196
yeah,5.443636816112557,0.14204889543458005
american,5.43137760425771,0.1428010953105712
projectlincoln,5.426847962900915,0.143079977968346
rpsagainsttrump,5.413444823067641,0.14390821143089474
rich,5.397417524429693,0.14490456112737823
forgot,5.375422044929109,0.14628255949747201
project,5.367029668503415,0.14681159527315144
try,5.360647214733403,0.14721514120958643
book,5.357155102608577,0.14743638217778052
federal,5.355795293845324,0.14752261719314502
ukraine,5.346038470070851,0.14814276619124433
violence,5.313650788656085,0.1502190606297455
heard,5.279406879637748,0.15244424274401888
gave,5.254643720333322,0.15407271524166152
voting,5.249630545567167,0.1544043835059845
billion,5.237851550476739,0.15518632703424015
interesting,5.2350418374304635,0.15537339974787284
loaded,5.2350418374304635,0.15537339974787284
act,5.227304680686364,0.15588964530889732
small,5.193138325068128,0.15818872831499292
occupydemocrats,5.182793469719203,0.15889112239608807
october,5.177189506499664,0.1592728460631115
dementia,5.134584492831024,0.1622033381350881
rfk,5.134584492831024,0.1622033381350881
